DSSS_TIME (Time)," DSSS_TAU (Shear_Stress, kPa)"," DSSS_SIGV (Normal_Stress, kPa)"," DSSS_YHV (Shear_Strain, %)"," DSSS_EPSV (Vertical_Strain, %)"
35.3846,-1.2,20.7,0.509,0.024
35.4842,-1.8,20.8,0.467,0.028
35.5839,-2.2,20.5,0.429,0.024
35.6836,-2.9,20.5,0.393,0.028
35.7833,-3.2,20.4,0.355,0.028
35.8829,-3.9,20.5,0.309,0.028
35.9826,-4.2,20.4,0.271,0.024
36.0823,-4.8,20.5,0.228,0.028
36.182,-5.1,20.4,0.186,0.024
36.2816,-5.7,20.5,0.144,0.038
36.3813,-6.1,20.5,0.102,0.028
36.481,-6.5,20.6,0.067,0.024
36.5807,-6.9,20.5,0.035,0.024
36.6803,-7.3,20.6,-0.004,0.024
36.78,-7.7,20.7,-0.035,0.028
36.8797,-8,20.6,-0.063,0.024
36.9794,-8.3,20.8,-0.091,0.028
37.079,-8.6,20.8,-0.116,0.024
37.1787,-8.6,20.9,-0.141,0.024
37.2784,-8.9,20.9,-0.162,0.042
37.3781,-8.9,20.8,-0.176,0.028
37.4777,-9.1,20.8,-0.19,0.024
37.5774,-9.2,20.8,-0.2,0.028
37.6771,-9.2,20.9,-0.211,0.028
37.7768,-9.2,20.8,-0.218,0.028
37.8764,-9.2,20.9,-0.221,0.028
37.9761,-9,20.8,-0.221,0.024
38.0758,-8.9,20.9,-0.218,0.028
38.1755,-8.7,20.8,-0.218,0.024
38.2751,-8.5,20.9,-0.218,0.028
38.3748,-8.2,20.8,-0.218,0.028
38.4745,-7.9,20.8,-0.214,0.028
38.5742,-7.5,20.7,-0.211,0.024
38.6738,-7.3,20.8,-0.2,0.024
38.7735,-6.9,20.7,-0.193,0.024
38.8732,-6.4,20.6,-0.186,0.024
38.9729,-5.9,20.6,-0.179,0.024
39.0725,-5.5,20.5,-0.162,0.028
39.1722,-5.1,20.5,-0.144,0.024
39.2719,-4.6,20.4,-0.13,0.024
39.3716,-4.1,20.4,-0.109,0.024
39.4712,-3.5,20.3,-0.091,0.028
39.5709,-3,20.3,-0.07,0.024
39.6706,-2.5,20.2,-0.039,0.028
39.7703,-2,20.1,-0.014,0.024
39.8699,-1.4,20,0.018,0.024
39.9696,-0.9,20,0.053,0.024
40.0693,-0.3,20,0.084,0.024
40.169,0.2,19.9,0.112,0.024
40.2686,0.8,20,0.148,0.024
40.3683,1.3,20,0.183,0.038
40.468,1.9,20.1,0.214,0.024
40.5677,2.4,19.9,0.253,0.024
40.6673,2.9,20,0.288,0.024
40.767,3.5,20,0.327,0.024
40.8667,3.9,20.1,0.365,0.024
40.9664,4.4,20.1,0.408,0.024
41.066,4.9,20.2,0.446,0.024
41.1657,5.5,20.2,0.485,0.028
41.2654,5.8,20.3,0.52,0.021
41.3651,6.3,20.5,0.569,0.042
41.4647,6.7,20.5,0.604,0.024
41.5644,7.1,20.7,0.643,0.021
41.6641,7.4,20.6,0.678,0.024
41.7638,7.8,20.9,0.713,0.024
41.8634,8.1,20.9,0.745,0.021
41.9631,8.4,21.1,0.776,0.021
42.0628,8.6,21.1,0.801,0.021
42.1624,8.9,21.3,0.829,0.017
42.2621,9.1,21.3,0.854,0.021
42.3618,9.1,21.3,0.875,0.035
42.4615,9.3,21.4,0.896,0.021
42.5611,9.4,21.4,0.906,0.021
42.6608,9.4,21.4,0.917,0.021
42.7605,9.3,21.3,0.927,0.024
42.8602,9.3,21.4,0.931,0.021
42.9599,9.2,21.3,0.934,0.021
43.0595,8.9,21.3,0.934,0.021
43.1592,8.8,21.2,0.934,0.024
43.2589,8.6,21.2,0.934,0.024
43.3585,8.3,21.2,0.927,0.035
43.4582,8,21,0.931,0.021
43.5579,7.7,21.1,0.927,0.021
43.6576,7.4,21.1,0.92,0.021
43.7572,7,21,0.913,0.017
43.8569,6.5,20.8,0.903,0.021
43.9566,6.2,20.9,0.896,0.021
44.0563,5.7,20.8,0.882,0.021
44.1559,5.2,20.7,0.871,0.021
44.2556,4.7,20.5,0.861,0.021
44.3553,4.1,20.4,0.847,0.024
44.455,3.8,20.4,0.822,0.024
44.5546,3.2,20.2,0.801,0.024
44.6543,2.7,20.2,0.783,0.021
44.754,2.2,20,0.755,0.021
44.8537,1.6,19.9,0.724,0.021
44.9533,1.1,19.8,0.696,0.017
45.053,0.7,19.7,0.664,0.021
45.1527,0,19.6,0.632,0.021
45.2524,-0.4,19.5,0.597,0.024
45.352,-0.9,19.4,0.562,0.024
45.4517,-1.5,19.3,0.523,0.024
45.5514,-1.9,19.3,0.485,0.024
45.6511,-2.5,19.2,0.443,0.024
45.7507,-3,19.1,0.4,0.024
45.8504,-3.6,19.1,0.355,0.024
45.9501,-4,19.1,0.313,0.024
46.0498,-4.5,19.1,0.267,0.024
46.1494,-4.9,19.2,0.225,0.024
46.2491,-5.5,19.1,0.172,0.021
46.3488,-6,19.2,0.137,0.024
46.4485,-6.5,19.2,0.091,0.031
46.5481,-6.8,19.3,0.06,0.024
46.6478,-7.3,19.3,0.021,0.024
46.7475,-7.6,19.3,-0.014,0.024
46.8472,-8,19.4,-0.042,0.024
46.9468,-8.2,19.4,-0.074,0.021
47.0465,-8.5,19.6,-0.102,0.024
47.1462,-8.6,19.5,-0.13,0.024
47.2459,-8.9,19.6,-0.148,0.021
47.3455,-9,19.6,-0.169,0.028
47.4452,-9.2,19.6,-0.183,0.035
47.5449,-9.2,19.6,-0.193,0.021
47.6446,-9.3,19.6,-0.207,0.024
47.7442,-9.2,19.6,-0.211,0.021
47.8439,-9.2,19.6,-0.214,0.021
47.9436,-9,19.6,-0.214,0.021
48.0433,-8.9,19.6,-0.214,0.024
48.1429,-8.7,19.6,-0.218,0.021
48.2426,-8.6,19.6,-0.211,0.021
48.3423,-8.3,19.7,-0.214,0.021
48.442,-8,19.5,-0.211,0.038
48.5416,-7.7,19.6,-0.207,0.021
48.6413,-7.4,19.5,-0.2,0.024
48.741,-6.8,19.6,-0.193,0.021
48.8407,-6.5,19.4,-0.183,0.021
48.9403,-6.1,19.4,-0.172,0.024
49.04,-5.7,19.4,-0.162,0.021
49.1397,-5.4,19.3,-0.151,0.021
49.2394,-4.8,19.3,-0.133,0.021
49.339,-4.2,19.2,-0.112,0.024
49.4387,-3.9,19.2,-0.091,0.035
49.5384,-3.3,19,-0.074,0.021
49.6381,-2.7,19,-0.042,0.024
49.7377,-2.2,18.9,-0.018,0.021
49.8374,-1.7,18.9,0.011,0.021
49.9371,-1.2,18.8,0.049,0.024
50.0368,-0.5,18.8,0.084,0.024
50.1364,0,18.7,0.116,0.021
50.2361,0.6,18.7,0.151,0.021
50.3358,1.1,18.8,0.183,0.021
50.4355,1.7,18.7,0.218,0.024
50.5351,2.2,18.7,0.26,0.017
50.6348,2.7,18.8,0.292,0.021
50.7345,3.2,18.8,0.334,0.021
50.8342,3.8,18.9,0.376,0.021
50.9338,4.2,18.9,0.415,0.021
51.0335,4.8,19,0.457,0.021
51.1332,5.3,19.1,0.499,0.021
51.2329,5.7,19.1,0.541,0.024
51.3325,6.2,19.2,0.58,0.021
51.4322,6.5,19.4,0.625,0.021
51.5319,6.9,19.6,0.664,0.024
51.6316,7.3,19.7,0.699,0.017
51.7312,7.7,19.7,0.738,0.017
51.8309,8.1,19.9,0.773,0.021
51.9306,8.3,19.9,0.805,0.017
52.0303,8.5,20.1,0.833,0.021
52.1299,8.8,20.2,0.864,0.021
52.2296,8.9,20.2,0.885,0.021
52.3293,9.1,20.3,0.906,0.021
52.429,9.2,20.3,0.927,0.017
52.5286,9.3,20.4,0.942,0.035
52.6283,9.3,20.2,0.952,0.017
52.728,9.2,20.4,0.963,0.017
52.8277,9.3,20.3,0.97,0.014
52.9273,9.2,20.5,0.973,0.017
53.027,9,20.3,0.977,0.017
53.1267,8.8,20.3,0.973,0.021
53.2264,8.7,20.2,0.973,0.014
53.326,8.5,20.2,0.97,0.014
53.4257,8.1,20.2,0.973,0.014
53.5254,7.9,20.2,0.966,0.035
53.6251,7.5,20.1,0.963,0.017
53.7247,7.3,20,0.959,0.017
53.8244,6.7,20,0.949,0.017
53.9241,6.3,19.9,0.938,0.017
54.0238,5.9,19.9,0.927,0.017
54.1234,5.3,19.6,0.917,0.021
54.2231,5,19.7,0.899,0.017
54.3228,4.4,19.6,0.885,0.017
54.4225,3.9,19.5,0.868,0.017
54.5221,3.3,19.3,0.843,0.031
54.6218,2.9,19.2,0.822,0.014
54.7215,2.3,19.2,0.797,0.014
54.8212,1.8,19,0.776,0.017
54.9208,1.4,18.9,0.741,0.021
55.0205,0.8,18.7,0.71,0.021
55.1202,0.2,18.7,0.675,0.021
55.2199,-0.3,18.5,0.643,0.021
55.3195,-0.9,18.5,0.604,0.017
55.4192,-1.3,18.3,0.569,0.021
55.5189,-1.8,18.2,0.523,0.024
55.6186,-2.3,18.2,0.481,0.021
55.7182,-2.8,18,0.436,0.021
55.8179,-3.4,18.1,0.393,0.021
55.9176,-3.9,18,0.344,0.021
56.0173,-4.4,18,0.299,0.021
56.1169,-4.8,18.1,0.253,0.021
56.2166,-5.3,18.1,0.207,0.021
56.3163,-5.7,18.2,0.162,0.017
56.416,-6.3,18.2,0.119,0.021
56.5156,-6.7,18.3,0.077,0.021
56.6153,-7.1,18.3,0.039,0.017
56.715,-7.5,18.3,0.004,0.021
56.8147,-7.9,18.5,-0.035,0.017
56.9143,-8.2,18.5,-0.06,0.021
57.014,-8.4,18.6,-0.095,0.021
57.1137,-8.7,18.6,-0.116,0.021
57.2133,-8.8,18.6,-0.137,0.021
57.313,-9.2,18.7,-0.162,0.021
57.4127,-9.2,18.6,-0.176,0.021
57.5124,-9.2,18.7,-0.186,0.021
57.612,-9.2,18.8,-0.197,0.021
57.7117,-9.3,18.6,-0.207,0.017
57.8114,-9.3,18.7,-0.211,0.021
57.9111,-9.2,18.7,-0.214,0.017
58.0107,-9,18.7,-0.214,0.017
58.1104,-8.9,18.6,-0.211,0.017
58.2101,-8.6,18.8,-0.214,0.017
58.3098,-8.4,18.6,-0.214,0.021
58.4094,-8.2,18.7,-0.211,0.021
58.5091,-7.8,18.7,-0.204,0.021
58.6088,-7.4,18.6,-0.197,0.028
58.7085,-7.1,18.7,-0.19,0.017
58.8081,-6.7,18.6,-0.186,0.017
58.9078,-6.2,18.6,-0.172,0.021
59.0075,-5.9,18.4,-0.165,0.017
59.1072,-5.4,18.5,-0.151,0.021
59.2068,-5,18.4,-0.133,0.021
59.3065,-4.4,18.3,-0.116,0.021
59.4062,-3.9,18.3,-0.095,0.017
59.5059,-3.4,18.2,-0.077,0.021
59.6055,-2.9,18.2,-0.046,0.035
59.7052,-2.4,18.1,-0.025,0.021
59.8049,-1.8,18.1,0.007,0.021
59.9046,-1.4,17.9,0.042,0.021
60.0042,-0.8,18,0.074,0.021
60.1039,-0.3,17.9,0.112,0.017
60.2036,0.3,17.9,0.144,0.021
60.3033,0.8,17.8,0.179,0.017
60.4029,1.4,17.9,0.221,0.021
60.5026,1.9,17.9,0.256,0.021
60.6023,2.5,18,0.292,0.028
60.702,2.9,18,0.337,0.017
60.8016,3.6,18,0.376,0.021
60.9013,4,18.1,0.418,0.021
61.001,4.5,18,0.464,0.017
61.1007,5,18.1,0.502,0.017
61.2003,5.6,18.2,0.548,0.021
61.3,5.9,18.4,0.594,0.017
61.3997,6.3,18.6,0.639,0.021
61.4994,6.7,18.6,0.682,0.021
61.599,7.1,18.8,0.72,0.028
61.6987,7.5,18.9,0.762,0.017
61.7984,7.9,19.1,0.801,0.021
61.8981,8.2,19.1,0.829,0.017
61.9977,8.5,19.3,0.861,0.017
62.0974,8.7,19.2,0.892,0.014
62.1971,8.9,19.4,0.917,0.017
62.2968,9.1,19.5,0.942,0.014
62.3964,9.1,19.6,0.959,0.017
62.4961,9.3,19.6,0.973,0.017
62.5958,9.3,19.6,0.984,0.014
62.6955,9.3,19.6,0.994,0.017
62.7951,9.4,19.5,1.001,0.014
62.8948,9.2,19.6,1.008,0.014
62.9945,9.1,19.4,1.008,0.014
63.0942,9,19.6,1.008,0.014
63.1938,8.7,19.5,1.008,0.014
63.2935,8.5,19.5,1.008,0.017
63.3932,8.2,19.4,1.005,0.017
63.4929,7.9,19.4,1.005,0.017
63.5925,7.6,19.3,0.994,0.014
63.6922,7.2,19.2,0.994,0.028
63.7919,6.8,19.3,0.987,0.017
63.8916,6.5,19.1,0.977,0.014
63.9912,6,19,0.966,0.017
64.0909,5.6,18.9,0.956,0.017
64.1906,5.1,19,0.942,0.014
64.2903,4.5,18.7,0.924,0.014
64.3899,4.1,18.7,0.91,0.017
