DSSS_TIME (Time)," DSSS_TAU (Shear_Stress, kPa)"," DSSS_SIGV (Normal_Stress, kPa)"," DSSS_YHV (Shear_Strain, %)"," DSSS_EPSV (Vertical_Strain, %)"
0.000488602,0,31.7,0,0
0.0996748,0.3,31.7,0,-0.007
0.19935,0.9,31.8,0.011,-0.003
0.299024,1.4,31.7,0.021,-0.01
0.398699,2,31.9,0.035,-0.007
0.498374,2.5,31.7,0.046,-0.007
0.598049,2.9,31.8,0.07,-0.01
0.697724,3.4,31.7,0.095,-0.01
0.797399,4,31.7,0.119,0.01
0.897073,4.5,31.4,0.148,-0.01
0.996748,5,31.4,0.172,-0.007
1.09642,5.4,31.2,0.204,-0.007
1.1961,5.8,31.1,0.232,-0.003
1.29577,6.2,30.9,0.263,-0.007
1.39545,6.6,30.7,0.288,-0.007
1.49512,7,30.6,0.323,-0.007
1.5948,7.4,30.3,0.355,-0.007
1.69447,7.6,30.2,0.39,-0.007
1.79415,7.9,30.1,0.422,0.007
1.89382,8.2,29.9,0.453,-0.007
1.9935,8.5,29.6,0.485,-0.003
2.09317,8.7,29.5,0.509,-0.007
2.19285,8.9,29.4,0.541,-0.003
2.29252,9,29.2,0.569,-0.003
2.3922,9.1,29.1,0.59,-0.007
2.49187,9.1,28.8,0.618,-0.007
2.59155,9.2,28.9,0.639,-0.003
2.69122,9.2,28.6,0.653,-0.003
2.79089,9.2,28.7,0.667,0
2.89057,9.1,28.4,0.678,0
2.99024,9.1,28.4,0.682,-0.003
3.08992,9,28.4,0.689,0
3.18959,8.7,28.3,0.685,-0.003
3.28927,8.5,28.4,0.685,-0.003
3.38894,8.2,28.2,0.685,0
3.48862,8,28.3,0.685,0
3.58829,7.7,28.2,0.682,0
3.68797,7.3,28.2,0.682,0
3.78764,6.8,28.1,0.675,0
3.88732,6.5,28.1,0.667,0
3.98699,6.2,28.1,0.657,0
4.08667,5.6,28,0.643,0
4.18634,5.2,28,0.636,0
4.28602,4.6,27.8,0.622,0.003
4.38569,4.2,27.8,0.611,0.003
4.48537,3.6,27.6,0.594,0.003
4.58504,3,27.7,0.573,0.003
4.68472,2.6,27.6,0.559,0.003
4.78439,2,27.4,0.534,0.003
4.88407,1.5,27.4,0.509,0.007
4.98374,0.9,27.2,0.485,0.003
5.08342,0.3,27.2,0.457,0.003
5.18309,-0.3,27.1,0.432,0.003
5.28277,-0.8,27.1,0.397,0.003
5.38244,-1.3,26.8,0.365,0.007
5.48212,-1.9,26.9,0.334,0.003
5.58179,-2.4,26.8,0.309,0.003
5.68147,-3,26.9,0.274,0.007
5.78114,-3.5,26.8,0.242,0.003
5.88081,-4.1,26.8,0.207,0.017
5.98049,-4.5,26.7,0.176,0.003
6.08016,-5,26.6,0.144,0.007
6.17984,-5.4,26.5,0.109,0.007
6.27951,-5.8,26.5,0.074,0.007
6.37919,-6.2,26.5,0.039,0.01
6.47886,-6.6,26.4,0.004,0.007
6.57854,-6.9,26.4,-0.028,0.007
6.67821,-7.3,26.3,-0.06,0.01
6.77789,-7.6,26.3,-0.088,0.007
6.87756,-8,26.3,-0.119,0.021
6.97724,-8.1,26.2,-0.144,0.01
7.07691,-8.4,26.2,-0.169,0.007
7.17659,-8.6,26.1,-0.186,0.007
7.27626,-8.8,26.1,-0.211,0.007
7.37594,-8.9,26,-0.228,0.01
7.47561,-9,25.9,-0.239,0.01
7.57529,-9.2,26,-0.249,0.01
7.67496,-9.2,25.9,-0.263,0.01
7.77464,-9.1,25.9,-0.267,0.01
7.87431,-9.1,26,-0.271,0.024
7.97399,-8.9,25.9,-0.278,0.014
8.07366,-8.8,25.9,-0.271,0.014
8.17334,-8.6,25.9,-0.274,0.01
8.27301,-8.4,25.9,-0.274,0.01
8.37269,-8.1,25.9,-0.271,0.01
8.47236,-7.9,25.9,-0.267,0.01
8.57203,-7.6,25.8,-0.263,0.01
8.67171,-7.1,25.9,-0.253,0.01
8.77138,-6.8,25.8,-0.249,0.014
8.87106,-6.3,25.9,-0.239,0.021
8.97073,-5.9,25.7,-0.232,0.014
9.07041,-5.4,25.7,-0.214,0.01
9.17008,-5,25.6,-0.204,0.014
9.26976,-4.5,25.6,-0.19,0.014
9.36943,-3.9,25.7,-0.172,0.014
9.46911,-3.4,25.6,-0.151,0.01
9.56878,-3,25.7,-0.133,0.01
9.66846,-2.4,25.5,-0.109,0.014
9.76813,-1.9,25.5,-0.077,0.014
9.86781,-1.2,25.4,-0.049,0.014
9.96748,-0.7,25.5,-0.021,0.014
10.0672,-0.2,25.3,0.007,0.014
10.1668,0.4,25.3,0.035,0.017
10.2665,0.9,25.3,0.067,0.014
10.3662,1.6,25.3,0.095,0.01
10.4659,2,25.4,0.13,0.01
10.5655,2.6,25.3,0.158,0.014
10.6652,3.1,25.4,0.193,0.017
10.7649,3.7,25.3,0.228,0.01
10.8646,4.1,25.5,0.263,0.014
10.9642,4.7,25.6,0.292,0.024
11.0639,5.1,25.5,0.32,0.01
11.1636,5.7,25.6,0.358,0.014
11.2633,6.1,25.6,0.386,0.017
11.3629,6.5,25.7,0.422,0.014
11.4626,6.9,25.7,0.453,0.014
11.5623,7.3,25.8,0.481,0.014
11.662,7.5,25.9,0.513,0.014
11.7616,8,26,0.548,0.014
11.8613,8.1,25.9,0.576,0.014
11.961,8.4,26,0.604,0.024
12.0607,8.7,25.9,0.632,0.01
12.1603,8.8,25.9,0.657,0.014
12.26,9,26,0.685,0.014
12.3597,9.1,25.9,0.703,0.01
12.4594,9.2,25.9,0.727,0.01
12.559,9.4,25.8,0.741,0.014
12.6587,9.4,25.7,0.755,0.014
12.7584,9.3,25.8,0.762,0.014
12.8581,9.1,25.7,0.773,0.014
12.9577,9.2,25.8,0.783,0.024
13.0574,9.1,25.6,0.787,0.017
13.1571,8.9,25.7,0.78,0.014
13.2568,8.5,25.4,0.783,0.017
13.3564,8.4,25.6,0.78,0.014
13.4561,8,25.4,0.78,0.01
13.5558,7.8,25.6,0.776,0.014
13.6555,7.5,25.3,0.776,0.017
13.7551,7.1,25.3,0.766,0.014
13.8548,6.7,25.4,0.759,0.017
13.9545,6.2,25.3,0.748,0.024
14.0542,5.7,25.2,0.738,0.014
14.1538,5.2,25.1,0.727,0.014
14.2535,4.8,25.1,0.717,0.017
14.3532,4.3,24.9,0.699,0.017
14.4528,3.8,25,0.685,0.014
14.5525,3.2,24.7,0.66,0.017
14.6522,2.7,24.7,0.643,0.017
14.7519,2.2,24.5,0.622,0.017
14.8515,1.7,24.4,0.594,0.017
14.9512,1.1,24.4,0.562,0.017
15.0509,0.5,24.2,0.534,0.017
15.1506,0,24.2,0.502,0.017
15.2502,-0.6,24.1,0.471,0.021
15.3499,-1.1,24,0.432,0.017
15.4496,-1.7,23.9,0.404,0.021
15.5493,-2.1,23.9,0.369,0.021
15.6489,-2.7,23.8,0.334,0.021
15.7486,-3.3,23.8,0.295,0.021
15.8483,-3.7,23.9,0.256,0.021
15.948,-4.2,23.7,0.225,0.021
16.0476,-4.8,23.8,0.183,0.021
16.1473,-5.1,23.7,0.148,0.021
16.247,-5.5,23.8,0.105,0.021
16.3467,-6.1,23.8,0.07,0.021
16.4463,-6.5,23.8,0.039,0.021
16.546,-6.9,23.9,0.004,0.024
16.6457,-7.2,23.8,-0.025,0.024
16.7454,-7.5,23.9,-0.056,0.028
16.845,-8,23.8,-0.084,0.024
16.9447,-8.1,24,-0.109,0.021
17.0444,-8.5,23.8,-0.137,0.031
17.1441,-8.6,23.9,-0.162,0.024
17.2437,-8.8,23.8,-0.183,0.021
17.3434,-8.9,23.9,-0.197,0.024
17.4431,-9,23.8,-0.211,0.021
17.5428,-9.2,23.8,-0.225,0.024
17.6424,-9.2,23.9,-0.232,0.021
17.7421,-9.2,23.8,-0.239,0.024
17.8418,-9.1,23.9,-0.242,0.021
17.9415,-9,23.8,-0.249,0.024
18.0411,-8.9,23.9,-0.242,0.035
18.1408,-8.6,23.7,-0.249,0.024
18.2405,-8.4,23.9,-0.242,0.024
18.3402,-8.2,23.8,-0.242,0.024
18.4398,-8,23.8,-0.242,0.024
18.5395,-7.7,23.8,-0.235,0.024
18.6392,-7.3,23.7,-0.228,0.024
18.7389,-6.9,23.9,-0.225,0.024
18.8385,-6.5,23.7,-0.218,0.024
18.9382,-6.1,23.8,-0.204,0.024
19.0379,-5.7,23.7,-0.197,0.038
19.1376,-5.3,23.7,-0.183,0.028
19.2372,-4.7,23.5,-0.165,0.028
19.3369,-4.3,23.5,-0.151,0.024
19.4366,-3.6,23.4,-0.126,0.028
19.5363,-3.2,23.5,-0.105,0.021
19.6359,-2.6,23.5,-0.081,0.024
19.7356,-2.1,23.4,-0.053,0.024
19.8353,-1.5,23.4,-0.025,0.024
19.935,-1.1,23.2,0.004,0.024
20.0346,-0.3,23.3,0.039,0.035
20.1343,0.1,23.2,0.067,0.024
20.234,0.8,23.3,0.098,0.028
20.3337,1.2,23.2,0.13,0.024
20.4333,1.8,23.2,0.158,0.024
20.533,2.4,23.2,0.193,0.024
20.6327,2.9,23.2,0.225,0.028
20.7324,3.4,23.3,0.26,0.028
20.832,3.9,23.3,0.295,0.024
20.9317,4.5,23.4,0.334,0.024
21.0314,4.9,23.4,0.365,0.028
21.1311,5.4,23.5,0.4,0.024
21.2307,5.9,23.5,0.436,0.024
21.3304,6.3,23.6,0.471,0.028
21.4301,6.7,23.7,0.502,0.024
21.5298,7.1,23.8,0.538,0.028
21.6294,7.4,23.9,0.569,0.028
21.7291,7.7,23.9,0.604,0.028
21.8288,8,24.1,0.636,0.024
21.9285,8.3,24,0.667,0.028
22.0281,8.5,24.3,0.692,0.024
22.1278,8.8,24.1,0.717,0.021
22.2275,8.9,24.2,0.741,0.024
22.3272,9,24.1,0.766,0.024
22.4268,9.1,24.1,0.783,0.024
22.5265,9.2,24.1,0.801,0.024
22.6262,9.3,24.1,0.815,0.024
22.7259,9.3,24.1,0.826,0.024
22.8255,9.3,24.1,0.833,0.021
22.9252,9.1,24.1,0.84,0.024
23.0249,9,23.9,0.836,0.024
23.1246,8.9,24.2,0.836,0.035
23.2242,8.6,23.9,0.84,0.028
23.3239,8.5,24,0.84,0.028
23.4236,8.2,23.8,0.836,0.021
23.5233,7.9,24,0.833,0.024
23.6229,7.6,23.8,0.829,0.024
23.7226,7.3,23.8,0.822,0.024
23.8223,6.7,23.7,0.819,0.024
23.922,6.3,23.6,0.805,0.024
24.0216,5.9,23.6,0.794,0.028
24.1213,5.4,23.5,0.783,0.035
24.221,4.9,23.5,0.773,0.024
24.3207,4.4,23.3,0.759,0.024
24.4203,3.9,23.2,0.738,0.028
24.52,3.5,23.1,0.72,0.028
24.6197,2.9,22.9,0.696,0.028
24.7194,2.3,22.9,0.678,0.024
24.819,1.8,22.7,0.65,0.028
24.9187,1.3,22.7,0.622,0.028
25.0184,0.8,22.5,0.59,0.028
25.1181,0.1,22.5,0.559,0.042
25.2177,-0.3,22.4,0.527,0.028
25.3174,-0.9,22.3,0.485,0.024
25.4171,-1.3,22.3,0.457,0.028
25.5168,-1.9,22.1,0.418,0.024
25.6164,-2.4,22,0.386,0.028
25.7161,-3,22,0.344,0.024
25.8158,-3.5,22,0.309,0.028
25.9155,-4,22,0.267,0.028
26.0151,-4.5,22,0.228,0.028
26.1148,-4.9,22,0.19,0.038
26.2145,-5.4,22.2,0.148,0.028
26.3142,-5.9,21.9,0.109,0.028
26.4138,-6.2,22.1,0.074,0.028
26.5135,-6.7,22,0.039,0.024
26.6132,-7,22.1,0.004,0.024
26.7129,-7.4,22.2,-0.028,0.024
26.8125,-7.7,22.3,-0.056,0.028
26.9122,-8.1,22.3,-0.084,0.028
27.0119,-8.3,22.3,-0.112,0.024
27.1116,-8.6,22.3,-0.133,0.031
27.2112,-8.8,22.3,-0.158,0.031
27.3109,-8.9,22.3,-0.176,0.028
27.4106,-9.1,22.2,-0.19,0.024
27.5103,-9.1,22.3,-0.204,0.028
27.6099,-9.2,22.3,-0.214,0.028
27.7096,-9.1,22.3,-0.221,0.028
27.8093,-9.2,22.3,-0.225,0.028
27.909,-9,22.3,-0.221,0.024
28.0086,-8.9,22.3,-0.228,0.028
28.1083,-8.8,22.3,-0.225,0.024
28.208,-8.6,22.2,-0.228,0.024
28.3076,-8.3,22.1,-0.228,0.028
28.4073,-8.1,22.1,-0.225,0.028
28.507,-7.7,22.1,-0.218,0.028
28.6067,-7.5,22.2,-0.214,0.028
28.7063,-7.1,22.1,-0.207,0.028
28.806,-6.6,22,-0.204,0.024
28.9057,-6.3,22,-0.193,0.028
29.0054,-5.8,22,-0.183,0.024
29.105,-5.4,22,-0.165,0.028
29.2047,-5,21.8,-0.155,0.042
29.3044,-4.4,21.8,-0.133,0.024
29.4041,-3.9,21.7,-0.116,0.028
29.5037,-3.3,21.7,-0.091,0.028
29.6034,-2.8,21.7,-0.07,0.024
29.7031,-2.3,21.6,-0.049,0.024
29.8028,-1.8,21.5,-0.014,0.028
29.9024,-1.3,21.4,0.018,0.024
30.0021,-0.6,21.5,0.049,0.028
30.1018,-0.2,21.4,0.081,0.024
30.2015,0.5,21.5,0.116,0.042
30.3011,0.9,21.4,0.148,0.024
30.4008,1.6,21.4,0.179,0.028
30.5005,2,21.4,0.214,0.028
30.6002,2.6,21.5,0.246,0.028
30.6998,3.2,21.4,0.281,0.028
30.7995,3.7,21.5,0.32,0.028
30.8992,4.1,21.5,0.355,0.028
30.9989,4.8,21.6,0.39,0.024
31.0985,5.2,21.7,0.429,0.024
31.1982,5.6,21.7,0.467,0.042
31.2979,6.2,21.8,0.506,0.024
31.3976,6.5,21.9,0.541,0.024
31.4972,6.9,22,0.58,0.028
31.5969,7.3,22.1,0.615,0.024
31.6966,7.6,22.2,0.646,0.024
31.7963,8,22.3,0.678,0.024
31.8959,8.3,22.4,0.71,0.024
31.9956,8.5,22.6,0.741,0.028
32.0953,8.7,22.5,0.766,0.021
32.195,8.9,22.6,0.79,0.035
32.2946,9.1,22.6,0.815,0.021
32.3943,9.1,22.7,0.833,0.028
32.494,9.2,22.6,0.854,0.024
32.5937,9.3,22.6,0.861,0.024
32.6933,9.4,22.5,0.875,0.024
32.793,9.3,22.6,0.878,0.024
32.8927,9.2,22.6,0.889,0.024
32.9924,9.1,22.6,0.889,0.024
33.092,8.9,22.6,0.892,0.024
33.1917,8.8,22.4,0.889,0.024
33.2914,8.7,22.5,0.889,0.024
33.3911,8.3,22.4,0.882,0.024
33.4907,8,22.5,0.885,0.024
33.5904,7.6,22.3,0.882,0.021
33.6901,7.3,22.3,0.878,0.028
33.7898,6.8,22.2,0.868,0.024
33.8894,6.5,22.2,0.857,0.024
33.9891,6,22,0.847,0.021
34.0888,5.6,22,0.84,0.024
34.1885,5,22,0.826,0.024
34.2881,4.7,21.9,0.812,0.031
34.3878,4.1,21.7,0.797,0.024
34.4875,3.5,21.6,0.773,0.024
34.5872,3.1,21.5,0.755,0.024
34.6868,2.5,21.4,0.734,0.024
34.7865,2,21.4,0.706,0.021
34.8862,1.5,21.2,0.675,0.024
34.9859,1,21.1,0.646,0.024
35.0855,0.4,21.1,0.611,0.024
35.1852,-0.1,20.8,0.576,0.024
35.2849,-0.8,20.9,0.541,0.042
