Time (s),Shear Stress (kPa),Vertical Effective Stress (kPa),Shear Strain (%),Vertical Strain (%)
0.000488602,0,153,-0.003,0
0.0996748,1.5,153.3,0.02,-0.003
0.19935,3.4,153.8,0.061,-0.003
0.299024,5.1,154.4,0.121,-0.003
0.398699,7.3,155.1,0.2,0
0.498374,9.2,155.6,0.281,-0.003
0.598049,11.3,156.1,0.368,-0.006
0.697724,13.2,156.6,0.45,-0.006
0.797399,15.1,157.1,0.528,-0.008
0.897073,17,157.5,0.613,-0.008
0.996748,18.6,157.8,0.705,-0.009
1.09642,20.4,158.3,0.798,-0.011
1.1961,22.1,158.7,0.881,-0.012
1.29577,23.5,159.3,0.962,-0.012
1.39545,24.8,159.8,1.041,-0.008
1.49512,26.2,160,1.118,-0.014
1.5948,27.5,160.5,1.19,-0.014
1.69447,28.6,161.2,1.258,-0.015
1.79415,29.5,161.7,1.321,-0.015
1.89382,30.4,162.3,1.381,-0.014
1.9935,31.2,163,1.431,-0.014
2.09317,31.9,163.3,1.479,-0.012
2.19285,32.3,163.7,1.518,-0.012
2.29252,32.8,163.9,1.55,-0.011
2.3922,33,164,1.578,-0.005
2.49187,33.1,164,1.596,-0.011
2.59155,33.1,164.1,1.609,-0.011
2.69122,33,164,1.616,-0.011
2.79089,32.8,164,1.618,-0.009
2.89057,32.5,163.9,1.618,-0.009
2.99024,32,163.8,1.618,-0.009
3.08992,31.3,163.8,1.61,-0.009
3.18959,30.6,163.6,1.595,-0.008
3.28927,29.8,163.4,1.578,-0.009
3.38894,28.7,163.2,1.555,-0.005
3.48862,27.7,162.8,1.526,-0.006
3.58829,26.6,162.6,1.492,-0.008
3.68797,25.3,162.2,1.453,-0.008
3.78764,23.9,161.8,1.407,-0.005
3.88732,22.4,161.3,1.353,-0.005
3.98699,20.8,160.8,1.294,-0.003
4.08667,19.2,160.2,1.231,-0.002
4.18634,17.4,159.8,1.167,0
4.28602,15.5,159.2,1.087,0
4.38569,13.7,158.5,1.011,0.002
4.48537,11.8,157.8,0.927,0.002
4.58504,9.7,157.3,0.841,0.003
4.68472,7.6,156.7,0.751,0.003
4.78439,5.6,156.1,0.661,0.005
4.88407,3.5,155.7,0.569,0.005
4.98374,1.5,155.2,0.471,0.006
5.08342,-0.7,154.8,0.37,0.006
5.18309,-2.7,154.5,0.272,0.006
5.28277,-4.8,154,0.173,0.009
5.38244,-7,153.6,0.073,0.009
5.48212,-8.9,153.5,-0.026,0.011
5.58179,-10.7,153.5,-0.151,0.009
5.68147,-12.8,153.1,-0.294,0.009
5.78114,-14.9,152.8,-0.405,0.009
5.88081,-16.6,152.4,-0.505,0.009
5.98049,-18.4,152.1,-0.602,0.009
6.08016,-20.1,151.9,-0.697,0.011
6.17984,-21.8,151.5,-0.794,0.011
6.27951,-23.2,151.4,-0.885,0.012
6.37919,-24.6,151.1,-0.977,0.012
6.47886,-25.9,151,-1.064,0.017
6.57854,-27.2,150.9,-1.156,0.012
6.67821,-28.2,151.1,-1.24,0.012
6.77789,-29.3,151.3,-1.332,0.011
6.87756,-30.1,151.6,-1.414,0.012
6.97724,-31,151.8,-1.494,0.012
7.07691,-31.7,151.7,-1.561,0.012
7.17659,-32.2,151.6,-1.615,0.012
7.27626,-32.6,151.4,-1.656,0.012
7.37594,-33,151.3,-1.694,0.012
7.47561,-33,151.3,-1.719,0.018
7.57529,-33.1,151.2,-1.737,0.014
7.67496,-32.9,151.2,-1.746,0.012
7.77464,-32.7,151.2,-1.749,0.014
7.87431,-32.4,151.3,-1.751,0.014
7.97399,-31.9,151.3,-1.746,0.014
8.07366,-31.4,151.4,-1.74,0.014
8.17334,-30.5,151.6,-1.726,0.014
8.27301,-29.7,151.7,-1.709,0.014
8.37269,-28.8,151.9,-1.685,0.014
8.47236,-27.8,152.2,-1.656,0.018
8.57203,-26.5,152.3,-1.619,0.014
8.67171,-25.4,152.6,-1.579,0.014
8.77138,-24,152.8,-1.534,0.014
8.87106,-22.6,153,-1.482,0.014
8.97073,-21.1,153.4,-1.422,0.014
9.07041,-19.5,153.5,-1.361,0.015
9.17008,-17.7,153.8,-1.289,0.014
9.26976,-16,153.9,-1.208,0.014
9.36943,-14,153.8,-1.118,0.014
9.46911,-12.2,153.6,-1.02,0.017
9.56878,-10.2,153.6,-0.907,0.015
9.66846,-8.1,154.1,-0.8,0.014
9.76813,-6.1,154.5,-0.688,0.014
9.86781,-4.5,154.4,-0.557,0.012
9.96748,-1.8,154.8,-0.384,0.014
10.0672,0.3,155.4,-0.274,0.015
10.1668,2.4,155.9,-0.168,0.014
10.2665,4.4,156.4,-0.064,0.014
10.3662,6.5,156.8,0.038,0.014
10.4659,8.5,157.4,0.139,0.014
10.5655,10.6,157.7,0.243,0.015
10.6652,12.6,158,0.347,0.014
10.7649,14.4,158.1,0.445,0.014
10.8646,16.2,158.4,0.547,0.014
10.9642,18,158.7,0.645,0.012
11.0639,19.7,158.7,0.743,0.012
11.1636,21.4,158.9,0.839,0.011
11.2633,23,159.3,0.931,0.012
11.3629,24.4,159.5,1.018,0.011
11.4626,25.8,159.9,1.099,0.009
11.5623,27,160.1,1.176,0.011
11.662,28.2,160.4,1.248,0.009
11.7616,29.3,160.7,1.315,0.006
11.8613,30.1,160.9,1.378,0.006
11.961,31,161,1.433,0.005
12.0607,31.7,161.1,1.483,0.005
12.1603,32.2,161.1,1.527,0.005
12.26,32.6,161.3,1.564,0.005
12.3597,32.9,161.3,1.593,0.003
12.4594,33.1,161.3,1.613,0.005
12.559,33.1,161.4,1.631,0.009
12.6587,33.1,161.1,1.638,0.005
12.7584,32.9,161.1,1.641,0.005
12.8581,32.6,161,1.641,0.003
12.9577,32.2,160.8,1.641,0.003
13.0574,31.6,160.7,1.633,0.003
13.1571,30.8,160.5,1.622,0.005
13.2568,30,160.3,1.605,0.002
13.3564,29,160.1,1.584,0.003
13.4561,28,159.8,1.557,0.003
13.5558,26.9,159.4,1.526,0.008
13.6555,25.7,159,1.482,0.003
13.7551,24.4,158.6,1.436,0.003
13.8548,22.8,158.1,1.384,0.005
13.9545,21.3,157.7,1.326,0.005
14.0542,19.7,157.1,1.263,0.003
14.1538,18,156.6,1.2,0.005
14.2535,16.2,156.1,1.131,0.005
14.3532,14.2,155.4,1.055,0.006
14.4528,12.3,154.8,0.976,0.008
14.5525,10.4,154.3,0.891,0.014
14.6522,8.3,153.5,0.807,0.008
14.7519,6.3,152.9,0.716,0.011
14.8515,4.3,152.7,0.616,0.011
14.9512,2.2,152.1,0.515,0.011
15.0509,0,151.7,0.41,0.011
15.1506,-2,151.1,0.309,0.012
15.2502,-4.2,150.9,0.194,0.014
15.3499,-6.2,150.5,0.084,0.014
15.4496,-8.2,150.2,-0.026,0.014
15.5493,-9.8,150.3,-0.151,0.017
15.6489,-12.2,149.9,-0.335,0.014
15.7486,-14.2,149.5,-0.453,0.015
15.8483,-16.1,149.1,-0.564,0.015
15.948,-17.7,148.7,-0.67,0.017
16.0476,-19.5,148.5,-0.775,0.018
16.1473,-21.1,148.1,-0.879,0.017
16.247,-22.7,147.9,-0.98,0.017
16.3467,-24.2,147.9,-1.075,0.018
16.4463,-25.5,147.9,-1.167,0.018
16.546,-26.9,148.1,-1.258,0.018
16.6457,-27.9,148.1,-1.344,0.02
16.7454,-29.1,148.3,-1.427,0.02
16.845,-30,148.6,-1.501,0.018
16.9447,-30.9,148.4,-1.569,0.018
17.0444,-31.4,148.2,-1.622,0.02
17.1441,-32.1,148,-1.673,0.018
17.2437,-32.6,148.1,-1.706,0.018
17.3434,-32.9,148,-1.738,0.017
17.4431,-33,148,-1.763,0.018
17.5428,-33,147.9,-1.778,0.018
17.6424,-32.9,148,-1.789,0.023
17.7421,-32.9,148,-1.794,0.018
17.8418,-32.5,148,-1.794,0.018
17.9415,-32.2,148,-1.79,0.018
18.0411,-31.5,148.2,-1.784,0.018
18.1408,-30.8,148.2,-1.772,0.02
18.2405,-29.9,148.4,-1.757,0.018
18.3402,-29.1,148.5,-1.737,0.018
18.4398,-28.1,148.7,-1.708,0.018
18.5395,-27,148.9,-1.673,0.018
18.6392,-25.8,149.2,-1.633,0.023
18.7389,-24.5,149.4,-1.587,0.018
18.8385,-23.1,149.8,-1.535,0.018
18.9382,-21.6,149.8,-1.48,0.018
19.0379,-20.1,150.2,-1.42,0.018
19.1376,-18.3,150.4,-1.352,0.018
19.2372,-16.6,150.4,-1.278,0.018
19.3369,-14.7,150.4,-1.194,0.018
19.4366,-12.8,150.2,-1.099,0.018
19.5363,-11,150,-0.995,0.018
19.6359,-9,150.1,-0.885,0.024
19.7356,-6.8,150.5,-0.772,0.021
19.8353,-4.8,151,-0.657,0.02
19.935,-3.2,150.4,-0.488,0.02
20.0346,-0.5,151.3,-0.323,0.018
20.1343,1.7,151.8,-0.208,0.02
20.234,3.7,152.3,-0.098,0.02
20.3337,5.8,152.8,0.012,0.02
20.4333,7.9,153.3,0.122,0.018
20.533,10,153.7,0.232,0.02
20.6327,11.8,154,0.339,0.023
20.7324,13.8,154.3,0.45,0.018
20.832,15.6,154.4,0.558,0.018
20.9317,17.5,154.7,0.662,0.018
21.0314,19.2,155,0.765,0.015
21.1311,20.8,155.3,0.861,0.015
21.2307,22.5,155.5,0.959,0.015
21.3304,24,155.8,1.049,0.014
21.4301,25.4,156,1.133,0.014
21.5298,26.6,156.3,1.212,0.014
21.6294,27.8,156.5,1.281,0.014
21.7291,28.8,156.7,1.35,0.012
21.8288,29.9,157,1.411,0.011
21.9285,30.7,157.1,1.468,0.011
22.0281,31.4,157.3,1.517,0.009
22.1278,32,157.4,1.561,0.009
22.2275,32.5,157.5,1.599,0.009
22.3272,32.9,157.5,1.628,0.009
22.4268,33,157.5,1.65,0.008
22.5265,33.1,157.5,1.668,0.008
22.6262,33.1,157.5,1.676,0.008
22.7259,32.9,157.4,1.682,0.008
22.8255,32.7,157.3,1.68,0.008
22.9252,32.2,157.2,1.68,0.006
23.0249,31.8,157.1,1.677,0.008
23.1246,31.1,156.8,1.667,0.008
23.2242,30.3,156.7,1.651,0.008
23.3239,29.4,156.4,1.63,0.006
23.4236,28.4,156.1,1.604,0.006
23.5233,27.4,155.8,1.573,0.006
23.6229,26.2,155.4,1.534,0.006
23.7226,24.9,155,1.491,0.011
23.8223,23.4,154.5,1.439,0.008
23.922,21.9,154,1.385,0.008
24.0216,20.1,153.5,1.323,0.008
24.1213,18.6,153,1.261,0.009
24.221,16.7,152.5,1.193,0.011
24.3207,14.8,151.8,1.121,0.009
24.4203,13,151.2,1.041,0.011
24.52,11,150.7,0.96,0.011
24.6197,9,150,0.876,0.012
24.7194,6.9,149.5,0.786,0.02
24.819,4.9,149,0.691,0.015
24.9187,2.8,148.6,0.592,0.015
25.0184,0.7,148.1,0.488,0.017
25.1181,-1.2,147.8,0.382,0.017
25.2177,-3.4,147.3,0.266,0.018
25.3174,-5.4,146.8,0.153,0.02
25.4171,-7.6,146.4,0.034,0.018
25.5168,-9.4,146.2,-0.086,0.02
25.6164,-11.3,146.5,-0.272,0.02
25.7161,-13.5,145.8,-0.417,0.026
25.8158,-15.3,145.3,-0.537,0.021
25.9155,-17.2,144.8,-0.653,0.02
26.0151,-18.9,144.5,-0.768,0.02
26.1148,-20.6,144.2,-0.875,0.021
26.2145,-22.1,144.1,-0.98,0.02
26.3142,-23.6,144.1,-1.084,0.021
26.4138,-25.1,144.2,-1.185,0.021
26.5135,-26.4,144.4,-1.278,0.021
26.6132,-27.6,144.6,-1.367,0.021
26.7129,-28.7,144.8,-1.453,0.026
26.8125,-29.7,144.8,-1.527,0.021
26.9122,-30.5,144.7,-1.589,0.021
27.0119,-31.3,144.5,-1.642,0.021
27.1116,-32,144.4,-1.691,0.021
27.2112,-32.3,144.4,-1.729,0.021
27.3109,-32.9,144.4,-1.758,0.021
27.4106,-33.1,144.4,-1.786,0.021
27.5103,-33.1,144.5,-1.804,0.021
27.6099,-33.1,144.4,-1.813,0.021
27.7096,-32.9,144.5,-1.82,0.023
27.8093,-32.6,144.5,-1.82,0.021
27.909,-32.3,144.6,-1.818,0.021
28.0086,-31.8,144.7,-1.813,0.021
28.1083,-31.1,144.7,-1.803,0.021
28.208,-30.2,144.9,-1.787,0.021
28.3076,-29.4,144.8,-1.768,0.021
28.4073,-28.5,145.2,-1.742,0.021
28.507,-27.3,145.4,-1.709,0.021
28.6067,-26.2,145.5,-1.671,0.021
28.7063,-24.9,145.8,-1.627,0.021
28.806,-23.5,146.1,-1.578,0.023
28.9057,-22.1,146.3,-1.524,0.021
29.0054,-20.5,146.6,-1.468,0.023
29.105,-18.9,146.7,-1.402,0.021
29.2047,-17.2,146.9,-1.332,0.023
29.3044,-15.4,146.9,-1.254,0.023
29.4041,-13.5,146.7,-1.162,0.021
29.5037,-11.6,146.5,-1.061,0.023
29.6034,-9.5,146.2,-0.953,0.023
29.7031,-7.5,146.6,-0.836,0.023
29.8028,-5.4,147.1,-0.722,0.026
29.9024,-3.9,146.8,-0.596,0.023
30.0021,-1.3,146.9,-0.382,0.021
30.1018,0.9,147.4,-0.252,0.021
30.2015,3,147.8,-0.136,0.021
30.3011,5.1,148.3,-0.017,0.02
30.4008,7.2,148.7,0.093,0.021
30.5005,9.1,149.1,0.205,0.021
30.6002,11.2,149.5,0.323,0.02
30.6998,13.1,150,0.434,0.018
30.7995,15,150.4,0.543,0.023
30.8992,16.8,150.8,0.653,0.017
30.9989,18.6,150.9,0.758,0.015
31.0985,20.2,150.3,0.865,0.015
31.1982,22,150.8,0.966,0.014
31.2979,23.4,151.1,1.061,0.014
31.3976,24.9,151.5,1.145,0.012
31.4972,26.3,151.7,1.229,0.011
31.5969,27.5,151.7,1.301,0.011
31.6966,28.6,152,1.37,0.011
31.7963,29.6,152.4,1.433,0.017
31.8959,30.4,152.5,1.491,0.008
31.9956,31.1,152.8,1.541,0.008
32.0953,31.9,152.9,1.586,0.009
32.195,32.4,152.9,1.622,0.008
32.2946,32.7,153,1.654,0.006
32.3943,33.1,153,1.676,0.006
32.494,33.1,153.1,1.694,0.006
32.5937,33.1,153,1.706,0.006
32.6933,33,152.8,1.709,0.006
32.793,32.8,152.9,1.714,0.009
32.8927,32.4,152.7,1.711,0.006
32.9924,31.9,152.6,1.709,0.006
33.092,31.3,152.4,1.7,0.005
33.1917,30.6,152.2,1.685,0.005
33.2914,29.6,151.8,1.667,0.006
33.3911,28.8,151.7,1.644,0.006
33.4907,27.7,151.3,1.613,0.006
33.5904,26.6,151,1.583,0.006
33.6901,25.3,150.5,1.537,0.006
33.7898,23.9,150.2,1.491,0.006
33.8894,22.3,149.7,1.434,0.006
33.9891,20.8,149.1,1.381,0.008
34.0888,19.1,148.5,1.316,0.008
34.1885,17.3,148.1,1.249,0.009
34.2881,15.5,147.6,1.179,0.009
34.3878,13.6,147,1.104,0.011
34.4875,11.6,146.4,1.02,0.011
34.5872,9.7,145.8,0.937,0.012
34.6868,7.6,145.5,0.847,0.012
34.7865,5.6,144.9,0.754,0.012
34.8862,3.5,144.4,0.654,0.015
34.9859,1.4,144.1,0.553,0.015
35.0855,-0.7,143.6,0.445,0.015
35.1852,-2.7,143.1,0.336,0.017
35.2849,-4.8,142.5,0.217,0.017
35.3846,-6.8,142.1,0.101,0.017
35.4842,-8.8,141.7,-0.021,0.018
35.5839,-10.2,142.2,-0.176,0.02
35.6836,-12.8,141.4,-0.372,0.018
35.7833,-14.7,141,-0.495,0.02
35.8829,-16.6,140.7,-0.619,0.024
35.9826,-18.3,140.3,-0.735,0.021
36.0823,-20,140,-0.85,0.02
36.182,-21.6,140,-0.966,0.021
36.2816,-23.2,140,-1.076,0.02
36.3813,-24.6,140.3,-1.182,0.02
36.481,-26,140.5,-1.284,0.02
36.5807,-27.2,140.7,-1.379,0.02
36.6803,-28.3,140.8,-1.465,0.02
36.78,-29.4,140.8,-1.543,0.02
36.8797,-30.3,140.7,-1.602,0.026
36.9794,-31.1,140.4,-1.656,0.02
37.079,-31.7,140.3,-1.708,0.021
37.1787,-32.4,140.1,-1.749,0.02
37.2784,-32.7,140.2,-1.783,0.021
37.3781,-33,140.2,-1.81,0.02
37.4777,-33.2,140.2,-1.827,0.02
37.5774,-33.1,140.2,-1.841,0.02
37.6771,-33.1,140.1,-1.847,0.021
37.7768,-32.8,140.2,-1.85,0.02
37.8764,-32.4,140.2,-1.849,0.024
37.9761,-32,140.1,-1.842,0.021
38.0758,-31.2,139.9,-1.836,0.02
38.1755,-30.5,140,-1.821,0.02
38.2751,-29.6,140.2,-1.804,0.02
38.3748,-28.8,140.1,-1.781,0.02
38.4745,-27.8,140.3,-1.749,0.018
38.5742,-26.7,140.5,-1.712,0.018
38.6738,-25.5,140.8,-1.671,0.018
38.7735,-24,140.7,-1.624,0.018
38.8732,-22.6,141.2,-1.57,0.02
38.9729,-21.1,141.3,-1.514,0.017
39.0725,-19.5,141.5,-1.451,0.018
39.1722,-17.7,141.7,-1.382,0.017
39.2719,-16,141.7,-1.307,0.017
39.3716,-14,141.8,-1.222,0.017
39.4712,-12.2,141.6,-1.127,0.015
39.5709,-10.2,141.2,-1.017,0.015
39.6706,-8.2,140.9,-0.899,0.015
39.7703,-6.2,141.3,-0.778,0.015
39.8699,-4.2,141.8,-0.661,0.015
39.9696,-2.7,141.2,-0.483,0.015
40.0693,0.2,141.9,-0.3,0.015
40.169,2.4,142.5,-0.174,0.014
40.2686,4.4,142.8,-0.052,0.015
40.3683,6.5,143.4,0.063,0.014
40.468,8.5,143.8,0.18,0.014
40.5677,10.6,144.3,0.297,0.012
40.6673,12.4,144.7,0.41,0.011
40.767,14.4,145.1,0.524,0.011
40.8667,16.2,145.5,0.636,0.009
40.9664,18,145.9,0.746,0.011
41.066,19.8,146.2,0.856,0.006
41.1657,21.3,145.7,0.959,0.006
41.2654,23,146,1.06,0.006
41.3651,24.4,146.3,1.147,0.005
41.4647,25.7,146.7,1.234,0.005
41.5644,27,146.7,1.312,0.003
41.6641,28.2,147.1,1.379,0.003
41.7638,29.3,147.3,1.446,0
41.8634,30.1,147.6,1.505,0.002
41.9631,31,147.7,1.557,0.005
42.0628,31.6,147.8,1.605,-0.002
42.1624,32.2,148,1.644,0
42.2621,32.6,148.2,1.674,-0.002
42.3618,33,148.1,1.702,-0.002
42.4615,33.1,148.1,1.722,-0.003
42.5611,33.1,148.1,1.732,-0.003
42.6608,33.1,148.1,1.74,-0.002
42.7605,32.8,148,1.742,-0.002
42.8602,32.5,147.9,1.742,-0.002
42.9599,32.1,147.8,1.74,0.005
43.0595,31.5,147.6,1.732,-0.002
43.1592,30.7,147.4,1.719,-0.002
43.2589,30,147.3,1.702,-0.002
43.3585,29.1,147,1.68,-0.002
43.4582,28,146.7,1.653,-0.002
43.5579,26.9,146.3,1.621,-0.002
43.6576,25.7,145.9,1.581,-0.002
43.7572,24.3,145.4,1.534,0
43.8569,22.8,145,1.482,-0.002
43.9566,21.2,144.6,1.425,0.003
44.0563,19.6,143.9,1.362,0
44.1559,17.8,143.4,1.3,0.002
44.2556,16,143,1.228,0.002
44.3553,14.1,142.3,1.154,0.003
44.455,12.3,141.7,1.075,0.003
44.5546,10.4,141.4,0.986,0.005
44.6543,8.2,140.8,0.898,0.005
44.754,6.2,140.1,0.807,0.005
44.8537,4.1,140,0.706,0.006
44.9533,2.1,139.5,0.605,0.011
45.053,0,138.8,0.503,0.008
45.1527,-2.1,138.4,0.396,0.008
45.2524,-4.1,137.8,0.28,0.008
45.352,-6.1,137.4,0.164,0.008
45.4517,-8.2,137,0.046,0.008
45.5514,-9.8,137.1,-0.087,0.009
45.6511,-12.2,136.9,-0.304,0.008
45.7507,-14,136.4,-0.442,0.011
45.8504,-16,135.9,-0.57,0.011
45.9501,-17.7,135.9,-0.693,0.011
46.0498,-19.5,135.9,-0.82,0.012
46.1494,-21.1,135.8,-0.937,0.011
46.2491,-22.6,135.8,-1.057,0.012
46.3488,-24.2,136,-1.168,0.014
46.4485,-25.5,136.3,-1.275,0.012
46.5481,-26.8,136.5,-1.376,0.012
46.6478,-28,136.6,-1.469,0.012
46.7475,-29.1,136.5,-1.544,0.012
46.8472,-30,136.4,-1.609,0.012
46.9468,-30.9,136.3,-1.668,0.012
47.0465,-31.6,136.4,-1.719,0.017
47.1462,-32.2,136.3,-1.764,0.014
47.2459,-32.6,136.3,-1.801,0.014
47.3455,-32.9,136.3,-1.83,0.012
47.4452,-33.1,136.3,-1.85,0.014
47.5449,-33.2,136.3,-1.867,0.014
47.6446,-33.1,136.5,-1.873,0.014
47.7442,-32.9,136.5,-1.875,0.014
47.8439,-32.5,136.6,-1.873,0.014
47.9436,-32.1,136.5,-1.871,0.014
48.0433,-31.5,136.7,-1.865,0.02
48.1429,-30.8,136.8,-1.853,0.014
48.2426,-29.9,136.9,-1.838,0.014
48.3423,-29,137.1,-1.815,0.014
48.442,-28.1,137.3,-1.786,0.014
48.5416,-26.9,137.5,-1.752,0.014
48.6413,-25.8,137.7,-1.711,0.015
48.741,-24.5,137.9,-1.667,0.012
48.8407,-23,138.2,-1.613,0.014
48.9403,-21.6,138.4,-1.56,0.015
49.04,-20,138.7,-1.498,0.02
49.1397,-18.3,138.8,-1.431,0.015
49.2394,-16.6,139,-1.355,0.015
49.339,-14.6,139.1,-1.272,0.014
49.4387,-12.8,139,-1.182,0.015
49.5384,-10.9,138.6,-1.078,0.015
49.6381,-8.9,138.3,-0.957,0.015
49.7377,-6.8,138.3,-0.832,0.015
49.8374,-4.7,138.7,-0.714,0.015
49.9371,-3.3,138.5,-0.575,0.015
50.0368,-0.6,138.8,-0.359,0.017
50.1364,1.6,139.2,-0.223,0.015
50.2361,3.6,139.6,-0.099,0.014
50.3358,5.9,140.2,0.029,0.014
50.4355,7.9,140.7,0.147,0.014
50.5351,9.9,141.1,0.265,0.015
50.6348,11.8,141.4,0.378,0.014
50.7345,13.8,141.9,0.495,0.014
50.8342,15.6,142.3,0.609,0.011
50.9338,17.4,142.6,0.723,0.011
51.0335,19.2,142.9,0.832,0.011
51.1332,20.9,143.1,0.937,0.008
51.2329,22.4,143.1,1.037,0.008
51.3325,24,143.4,1.138,0.008
51.4322,25.3,143.5,1.223,0.006
51.5319,26.6,143.9,1.303,0.005
51.6316,27.9,144.3,1.376,0.005
51.7312,28.9,144.5,1.443,0.005
51.8309,29.9,144.6,1.505,0.005
51.9306,30.7,144.9,1.56,0.002
52.0303,31.4,144.9,1.61,0.003
52.1299,32,145,1.651,0.003
52.2296,32.5,145.1,1.685,0.002
52.3293,32.9,145.1,1.714,0.002
52.429,33.1,145.2,1.735,0.002
52.5286,33.1,145.1,1.749,0.002
52.6283,33.2,145.1,1.76,0
52.728,32.8,145,1.761,0
52.8277,32.6,144.9,1.763,0.002
52.9273,32.2,144.8,1.76,0.002
53.027,31.7,144.6,1.757,0
53.1267,31.1,144.4,1.743,0.006
53.2264,30.2,144.2,1.729,0.002
53.326,29.4,144,1.709,0
53.4257,28.4,143.8,1.682,0.002
53.5254,27.3,143.4,1.653,-0.002
53.6251,26.2,142.9,1.615,0
53.7247,24.8,142.6,1.572,0
53.8244,23.3,142.1,1.52,0
53.9241,21.8,141.5,1.466,0.003
54.0238,20.1,141.2,1.404,0.002
54.1234,18.3,140.7,1.339,0.008
54.2231,16.6,140.1,1.271,0.005
54.3228,14.8,139.6,1.196,0.005
54.4225,12.9,139,1.118,0.006
54.5221,10.9,138.5,1.029,0.006
54.6218,8.9,138.1,0.939,0.006
54.7215,7,137.5,0.849,0.006
54.8212,4.9,137,0.752,0.009
54.9208,2.8,136.4,0.653,0.009
55.0205,0.7,135.9,0.55,0.011
55.1202,-1.3,135.4,0.445,0.017
55.2199,-3.6,134.7,0.332,0.011
55.3195,-5.5,134.4,0.217,0.014
55.4192,-7.6,133.9,0.095,0.012
55.5189,-9.4,133.7,-0.024,0.014
55.6186,-11.3,134,-0.225,0.014
55.7182,-13.4,133.4,-0.388,0.014
55.8179,-15.4,133.1,-0.521,0.014
55.9176,-17.2,133,-0.651,0.014
56.0173,-18.9,132.8,-0.778,0.015
56.1169,-20.5,132.7,-0.899,0.018
56.2166,-22.1,132.7,-1.021,0.015
56.3163,-23.6,132.9,-1.142,0.015
56.416,-25.2,133,-1.252,0.015
56.5156,-26.4,133.3,-1.358,0.015
56.6153,-27.6,133.4,-1.459,0.015
56.715,-28.7,133.2,-1.54,0.014
56.8147,-29.7,133,-1.612,0.014
56.9143,-30.5,133.1,-1.671,0.015
57.014,-31.4,133,-1.728,0.014
57.1137,-32,133.1,-1.771,0.015
57.2133,-32.5,133,-1.81,0.014
57.313,-32.9,132.9,-1.842,0.015
57.4127,-33.1,132.9,-1.865,0.014
57.5124,-33.2,132.9,-1.881,0.014
57.612,-33,132.8,-1.89,0.012
57.7117,-33,132.9,-1.894,0.012
57.8114,-32.7,132.9,-1.896,0.012
57.9111,-32.3,132.9,-1.893,0.012
58.0107,-31.8,132.9,-1.888,0.012
58.1104,-31.1,132.9,-1.879,0.012
58.2101,-30.2,133.1,-1.862,0.015
58.3098,-29.4,133.2,-1.842,0.012
58.4094,-28.4,133.2,-1.818,0.011
58.5091,-27.3,133.4,-1.784,0.011
58.6088,-26.2,133.6,-1.748,0.011
58.7085,-24.9,133.8,-1.702,0.011
58.8081,-23.5,134,-1.653,0.011
58.9078,-22.1,134.2,-1.598,0.011
59.0075,-20.5,134.3,-1.537,0.011
59.1072,-18.8,134.6,-1.469,0.009
59.2068,-17.1,134.7,-1.398,0.015
59.3065,-15.4,134.8,-1.318,0.011
59.4062,-13.4,134.7,-1.228,0.009
59.5059,-11.7,134.6,-1.128,0.009
59.6055,-9.6,134.3,-1.014,0.009
59.7052,-7.5,133.8,-0.885,0.009
59.8049,-5.4,134.1,-0.758,0.009
59.9046,-3.6,134.3,-0.635,0.009
60.0042,-1.5,134,-0.425,0.009
60.1039,0.8,134.1,-0.268,0.008
60.2036,2.9,134.7,-0.133,0.015
60.3033,5,135.2,-0.009,0.008
60.4029,7.1,135.7,0.112,0.008
60.5026,9.1,136.1,0.231,0.008
60.6023,11.2,136.6,0.35,0.008
60.702,13.1,137.1,0.466,0.006
60.8016,15,137.5,0.583,0.005
60.9013,16.8,137.8,0.697,0.003
61.001,18.5,138.2,0.809,0.003
61.1007,20.3,138.6,0.917,0.002
61.2003,22,138.9,1.021,0.005
61.3,23.4,139.1,1.116,0
61.3997,24.8,139.4,1.208,-0.002
61.4994,26.2,139.5,1.294,-0.002
61.599,27.4,139.6,1.37,-0.005
61.6987,28.6,140,1.442,-0.005
61.7984,29.6,140.2,1.508,-0.005
61.8981,30.4,140.5,1.564,-0.006
61.9977,31.2,140.6,1.615,-0.008
62.0974,31.8,140.7,1.66,-0.006
62.1971,32.3,140.9,1.696,-0.005
62.2968,32.8,140.8,1.728,-0.008
62.3964,33,140.9,1.751,-0.008
62.4961,33.1,140.9,1.768,-0.009
62.5958,33.1,140.8,1.778,-0.009
62.6955,33,140.9,1.783,-0.009
62.7951,32.7,140.8,1.786,-0.009
62.8948,32.4,140.7,1.783,-0.008
62.9945,31.9,140.6,1.78,-0.009
63.0942,31.1,140.4,1.771,-0.009
63.1938,30.5,140.2,1.755,-0.009
63.2935,29.7,139.9,1.735,-0.008
63.3932,28.7,139.6,1.712,-0.008
63.4929,27.7,139.3,1.683,-0.009
63.5925,26.6,139,1.648,-0.009
63.6922,25.2,138.7,1.605,-0.011
63.7919,23.8,138.2,1.557,-0.009
63.8916,22.2,137.7,1.503,-0.009
63.9912,20.7,137.3,1.445,-0.009
64.0909,18.9,136.7,1.381,-0.008
64.1906,17.2,136.2,1.312,-0.006
64.2903,15.4,135.7,1.238,-0.003
64.3899,13.6,135.2,1.161,-0.005
64.4896,11.7,134.6,1.079,-0.003
64.5893,9.7,134.1,0.989,-0.003
