DSSS_TIME (Time)," DSSS_TAU (Shear_Stress, kPa)"," DSSS_SIGV (Normal_Stress, kPa)"," DSSS_YHV (Shear_Strain, %)"," DSSS_EPSV (Vertical_Strain, %)"
0.000488602,-0.5,125,0,0
0.0996748,1.9,124.8,0.023,-0.004
0.19935,4.7,124.8,0.094,-0.012
0.299024,7.7,125.1,0.187,-0.012
0.398699,10.6,125.6,0.288,-0.008
0.498374,13.3,125.5,0.398,-0.012
0.598049,16.3,125.5,0.515,-0.012
0.697724,19,125.7,0.624,-0.012
0.797399,21.8,125.8,0.741,-0.012
0.897073,24.3,125.8,0.85,-0.012
0.996748,26.9,126,0.967,-0.012
1.09642,29.3,126.3,1.092,-0.012
1.1961,31.6,126.2,1.205,-0.012
1.29577,33.8,126.5,1.325,-0.015
1.39545,35.8,126.8,1.442,-0.015
1.49512,37.8,127.1,1.555,-0.019
1.5948,39.6,127.4,1.665,-0.015
1.69447,41.1,127.7,1.77,-0.023
1.79415,42.5,127.8,1.867,-0.023
1.89382,43.8,128,1.961,-0.023
1.9935,45,128.3,2.058,-0.023
2.09317,45.9,128.4,2.136,-0.012
2.19285,46.6,128.6,2.21,-0.023
2.29252,47.2,128.8,2.28,-0.027
2.3922,47.6,128.9,2.335,-0.027
2.49187,47.7,128.8,2.374,-0.027
2.59155,47.8,129,2.409,-0.027
2.69122,47.7,129.1,2.429,-0.023
2.79089,47.2,129.1,2.433,-0.027
2.89057,46.6,129.1,2.436,-0.027
2.99024,45.8,129.2,2.433,-0.027
3.08992,45,129.3,2.433,-0.012
3.18959,43.7,129.1,2.413,-0.023
3.28927,42.6,129.1,2.394,-0.027
3.38894,41.1,129.3,2.374,-0.027
3.48862,39.5,129.1,2.339,-0.027
3.58829,37.8,128.9,2.3,-0.023
3.68797,36,129.1,2.253,-0.027
3.78764,34,129.1,2.195,-0.023
3.88732,31.8,128.7,2.128,-0.019
3.98699,29.4,128.7,2.05,-0.019
4.08667,27,128.8,1.976,-0.004
4.18634,24.6,128.6,1.887,-0.019
4.28602,21.9,128.4,1.785,-0.019
4.38569,19.2,128.2,1.68,-0.019
4.48537,16.5,128.3,1.567,-0.019
4.58504,13.4,128.1,1.442,-0.019
4.68472,10.6,128,1.318,-0.015
4.78439,7.6,128,1.185,-0.015
4.88407,4.8,127.9,1.041,-0.015
4.98374,1.7,127.8,0.893,-0.019
5.08342,-1.2,127.8,0.733,-0.012
5.18309,-4.4,127.9,0.557,-0.015
5.28277,-7.4,128,0.394,-0.019
5.38244,-10.4,128.2,0.242,-0.015
5.48212,-13.3,128.4,0.078,-0.015
5.58179,-16.3,128.5,-0.078,-0.015
5.68147,-19.2,128.6,-0.238,-0.012
5.78114,-21.8,129,-0.39,-0.015
5.88081,-24.4,129.4,-0.55,-0.015
5.98049,-26.9,129.4,-0.709,-0.012
6.08016,-29.6,129.8,-0.881,-0.015
6.17984,-31.7,130.3,-1.037,-0.012
6.27951,-34,130.5,-1.201,-0.019
6.37919,-36,130.7,-1.353,-0.019
6.47886,-38,130.9,-1.509,-0.015
6.57854,-39.6,131.2,-1.657,-0.015
6.67821,-41.4,131.2,-1.805,-0.019
6.77789,-42.9,131.4,-1.949,-0.015
6.87756,-44.2,131.6,-2.07,-0.015
6.97724,-45.5,131.7,-2.175,-0.019
7.07691,-46.5,131.6,-2.269,-0.015
7.17659,-47.2,131.9,-2.347,-0.015
7.27626,-47.9,131.9,-2.421,-0.019
7.37594,-48.3,131.7,-2.464,-0.019
7.47561,-48.5,131.8,-2.514,-0.019
7.57529,-48.5,131.8,-2.546,-0.019
7.67496,-48.5,131.7,-2.561,-0.019
7.77464,-48,131.5,-2.569,-0.023
7.87431,-47.6,131.5,-2.573,-0.019
7.97399,-47,131.3,-2.573,-0.019
8.07366,-46.2,131.2,-2.557,-0.019
8.17334,-45,131.1,-2.546,-0.012
8.27301,-43.8,130.9,-2.534,-0.019
8.37269,-42.3,130.6,-2.499,-0.019
8.47236,-40.8,130.4,-2.464,-0.019
8.57203,-39,130.2,-2.425,-0.019
8.67171,-37.2,129.7,-2.37,-0.019
8.77138,-35.2,129.3,-2.316,-0.015
8.87106,-33.1,129.1,-2.249,-0.015
8.97073,-30.8,128.7,-2.179,-0.015
9.07041,-28.4,128.2,-2.097,-0.019
9.17008,-25.9,128,-2.004,-0.012
9.26976,-23.3,127.8,-1.898,-0.019
9.36943,-20.6,127.3,-1.785,-0.019
9.46911,-17.8,127,-1.657,-0.015
9.56878,-15.1,126.9,-1.524,-0.019
9.66846,-12,126.8,-1.376,-0.019
9.76813,-9.1,126.4,-1.228,-0.015
9.86781,-6,126.1,-1.072,-0.019
9.96748,-3,126,-0.912,-0.019
10.0672,0,125.6,-0.748,-0.012
10.1668,2.9,125.4,-0.573,-0.004
10.2665,6,125.4,-0.382,-0.015
10.3662,9,125.4,-0.191,-0.012
10.4659,12,125.3,-0.008,-0.012
10.5655,14.9,125.3,0.179,-0.012
10.6652,17.8,125.5,0.366,-0.015
10.7649,20.5,125.7,0.554,-0.012
10.8646,23.2,125.7,0.721,-0.012
10.9642,25.9,125.9,0.893,-0.019
11.0639,28.5,126.1,1.056,-0.015
11.1636,30.8,126.4,1.216,-0.012
11.2633,32.9,126.3,1.364,-0.015
11.3629,35,126.7,1.513,-0.019
11.4626,37.1,127.2,1.653,-0.019
11.5623,38.9,127.2,1.781,-0.019
11.662,40.5,127.2,1.898,-0.019
11.7616,42,127.5,2.008,-0.019
11.8613,43.4,127.8,2.109,-0.019
11.961,44.6,127.7,2.206,-0.023
12.0607,45.6,127.7,2.284,-0.027
12.1603,46.5,128,2.358,-0.023
12.26,47.1,128.1,2.421,-0.023
12.3597,47.5,128.1,2.475,-0.027
12.4594,47.7,128.1,2.518,-0.027
12.559,47.8,128.3,2.542,-0.023
12.6587,47.6,128.2,2.561,-0.027
12.7584,47.4,128.2,2.569,-0.031
12.8581,46.9,128.1,2.573,-0.027
12.9577,46.2,128.4,2.569,-0.023
13.0574,45.3,128.2,2.565,-0.027
13.1571,44.2,127.9,2.549,-0.027
13.2568,43.2,128.1,2.53,-0.019
13.3564,41.8,128.1,2.507,-0.027
13.4561,40.2,127.8,2.479,-0.027
13.5558,38.5,127.9,2.436,-0.027
13.6555,36.7,127.9,2.39,-0.023
13.7551,34.9,127.6,2.331,-0.023
13.8548,32.7,127.5,2.265,-0.023
13.9545,30.3,127.5,2.191,-0.023
14.0542,28,127.3,2.113,-0.019
14.1538,25.5,127.1,2.019,-0.019
14.2535,22.8,127.2,1.918,-0.004
14.3532,20.2,127,1.809,-0.015
14.4528,17.5,126.6,1.7,-0.015
14.5525,14.5,126.7,1.571,-0.015
14.6522,11.7,126.6,1.438,-0.012
14.7519,8.7,126.4,1.294,-0.012
14.8515,5.8,126.2,1.146,-0.015
14.9512,2.8,126.1,0.986,-0.015
15.0509,0,126.1,0.819,-0.015
15.1506,-3,125.9,0.628,-0.012
15.2502,-6.1,126.1,0.433,-0.004
15.3499,-9.1,126.1,0.242,-0.015
15.4496,-12.1,126.3,0.051,-0.012
15.5493,-15,126.4,-0.136,-0.015
15.6489,-17.8,126.7,-0.316,-0.012
15.7486,-20.6,127,-0.507,-0.015
15.8483,-23.3,127.3,-0.69,-0.012
15.948,-26,127.8,-0.877,-0.015
16.0476,-28.4,128.1,-1.049,-0.015
16.1473,-30.9,128.2,-1.216,-0.012
16.247,-33.1,128.5,-1.384,-0.004
16.3467,-35.2,129,-1.552,-0.015
16.4463,-37.3,129.2,-1.711,-0.015
16.546,-39.1,129.4,-1.859,-0.012
16.6457,-40.9,129.8,-2,-0.015
16.7454,-42.5,130,-2.128,-0.015
16.845,-44,130,-2.23,-0.019
16.9447,-45.2,130.2,-2.331,-0.015
17.0444,-46.2,130.4,-2.409,-0.015
17.1441,-47,130.2,-2.471,-0.015
17.2437,-47.8,130.3,-2.534,-0.015
17.3434,-48.2,130.5,-2.585,-0.015
17.4431,-48.6,130.4,-2.624,-0.019
17.5428,-48.7,130.3,-2.651,-0.015
17.6424,-48.6,130.3,-2.67,-0.019
17.7421,-48.3,130.3,-2.678,-0.019
17.8418,-47.9,130.1,-2.682,-0.019
17.9415,-47.2,130,-2.678,-0.012
18.0411,-46.4,129.9,-2.67,-0.015
18.1408,-45.5,129.8,-2.655,-0.019
18.2405,-44.2,129.6,-2.639,-0.015
18.3402,-42.7,129.4,-2.616,-0.015
18.4398,-41.3,129,-2.577,-0.019
18.5395,-39.6,128.6,-2.53,-0.015
18.6392,-37.8,128.4,-2.483,-0.019
18.7389,-35.8,128.1,-2.429,-0.019
18.8385,-33.7,127.6,-2.366,-0.019
18.9382,-31.5,127.2,-2.292,-0.015
19.0379,-29.1,127,-2.21,-0.015
19.1376,-26.6,126.7,-2.121,-0.012
19.2372,-24.1,126.1,-2.023,-0.015
19.3369,-21.4,125.9,-1.914,-0.008
19.4366,-18.6,125.8,-1.789,-0.019
19.5363,-15.9,125.4,-1.653,-0.019
19.6359,-12.9,125.1,-1.505,-0.015
19.7356,-10,125.1,-1.345,-0.012
19.8353,-7,124.7,-1.189,-0.015
19.935,-4,124.2,-1.025,-0.012
20.0346,-1,124,-0.854,-0.012
20.1343,1.9,123.9,-0.671,-0.012
20.234,4.9,123.7,-0.468,-0.015
20.3337,8,123.7,-0.265,-0.008
20.4333,11,123.9,-0.066,-0.012
20.533,13.9,123.7,0.133,-0.012
20.6327,16.8,123.6,0.327,-0.008
20.7324,19.6,123.8,0.518,-0.012
20.832,22.4,124.2,0.713,-0.008
20.9317,24.9,124.3,0.893,-0.012
21.0314,27.5,124.3,1.068,-0.012
21.1311,29.9,124.7,1.232,-0.012
21.2307,32.3,125.1,1.399,-0.008
21.3304,34.4,124.9,1.548,-0.004
21.4301,36.4,125.2,1.696,-0.015
21.5298,38.3,125.7,1.832,-0.015
21.6294,40.1,125.9,1.961,-0.015
21.7291,41.6,125.7,2.07,-0.019
21.8288,43,126.1,2.179,-0.023
21.9285,44.3,126.4,2.273,-0.015
22.0281,45.3,126.3,2.355,-0.019
22.1278,46.1,126.4,2.429,-0.023
22.2275,46.9,126.8,2.487,-0.019
22.3272,47.4,126.6,2.538,-0.012
22.4268,47.7,126.5,2.577,-0.023
22.5265,47.8,126.6,2.608,-0.019
22.6262,47.7,126.6,2.624,-0.023
22.7259,47.5,126.6,2.639,-0.023
22.8255,47,126.7,2.635,-0.023
22.9252,46.5,126.8,2.639,-0.019
23.0249,45.6,126.6,2.635,-0.023
23.1246,44.6,126.5,2.624,-0.027
23.2242,43.4,126.6,2.604,-0.023
23.3239,42.2,126.6,2.581,-0.023
23.4236,40.7,126.3,2.553,-0.023
23.5233,39.1,126.2,2.518,-0.023
23.6229,37.3,126.4,2.464,-0.019
23.7226,35.6,126.2,2.417,-0.023
23.8223,33.4,125.8,2.355,-0.019
23.922,31.2,126,2.277,-0.019
24.0216,28.7,126,2.203,-0.019
24.1213,26.3,125.5,2.113,-0.019
24.221,23.7,125.3,2.008,-0.015
24.3207,21.1,125.5,1.91,-0.015
24.4203,18.4,125.2,1.785,-0.012
24.52,15.5,124.9,1.657,-0.012
24.6197,12.7,124.9,1.524,-0.012
24.7194,9.8,124.8,1.38,-0.015
24.819,6.8,124.6,1.236,-0.012
24.9187,3.9,124.5,1.068,-0.012
25.0184,0.9,124.3,0.9,-0.008
25.1181,-2,124.2,0.709,-0.012
25.2177,-5,124.2,0.503,-0.008
25.3174,-8.1,124.3,0.3,-0.012
25.4171,-11.1,124.5,0.101,0
25.5168,-14,124.5,-0.097,-0.012
25.6164,-16.8,124.8,-0.288,-0.008
25.7161,-19.8,125.1,-0.479,-0.008
25.8158,-22.4,125.5,-0.674,-0.008
25.9155,-25.1,125.8,-0.873,-0.008
26.0151,-27.7,126.4,-1.053,-0.012
26.1148,-30.1,126.5,-1.236,-0.012
26.2145,-32.4,126.7,-1.407,-0.008
26.3142,-34.6,127.3,-1.579,-0.012
26.4138,-36.6,127.6,-1.739,0
26.5135,-38.6,127.7,-1.902,-0.015
26.6132,-40.4,128.1,-2.043,-0.008
26.7129,-42,128.3,-2.175,-0.012
26.8125,-43.5,128.5,-2.277,-0.008
26.9122,-44.9,128.5,-2.378,-0.012
27.0119,-45.9,128.8,-2.46,-0.012
27.1116,-46.9,128.8,-2.526,-0.008
27.2112,-47.6,128.8,-2.592,-0.012
27.3109,-48.2,128.9,-2.647,-0.008
27.4106,-48.5,129,-2.678,-0.004
27.5103,-48.8,128.8,-2.709,-0.008
27.6099,-48.6,128.7,-2.733,-0.012
27.7096,-48.4,128.7,-2.737,-0.012
27.8093,-48,128.6,-2.744,-0.012
27.909,-47.5,128.5,-2.737,-0.012
28.0086,-46.7,128.4,-2.737,-0.012
28.1083,-45.7,128.3,-2.721,-0.012
28.208,-44.6,128,-2.709,-0.012
28.3076,-43.3,128,-2.678,-0.015
28.4073,-41.8,127.6,-2.647,-0.004
28.507,-40.2,127.3,-2.608,-0.015
28.6067,-38.4,126.9,-2.561,-0.012
28.7063,-36.6,126.6,-2.499,-0.015
28.806,-34.6,126.2,-2.44,-0.012
28.9057,-32.3,125.8,-2.378,-0.015
29.0054,-29.9,125.4,-2.292,-0.015
29.105,-27.5,125.2,-2.206,-0.015
29.2047,-25,124.8,-2.113,-0.015
29.3044,-22.2,124.4,-2,-0.015
29.4041,-19.7,124.2,-1.883,-0.012
29.5037,-16.8,123.9,-1.746,-0.012
29.6034,-14,123.6,-1.606,-0.012
29.7031,-11,123.5,-1.442,-0.012
29.8028,-8,123.1,-1.283,-0.015
29.9024,-5,122.8,-1.119,-0.012
30.0021,-2,122.5,-0.939,-0.012
30.1018,1,122.2,-0.748,-0.008
30.2015,3.9,122,-0.55,-0.008
30.3011,6.9,122.1,-0.343,-0.008
30.4008,10,122.1,-0.136,-0.004
30.5005,12.8,122,0.066,-0.004
30.6002,15.8,122.1,0.273,-0.008
30.6998,18.7,122.3,0.476,-0.004
30.7995,21.4,122.4,0.67,-0.004
30.8992,24,122.6,0.858,-0.008
30.9989,26.7,122.8,1.049,-0.004
31.0985,29.1,122.9,1.216,-0.008
31.1982,31.5,123,1.388,-0.012
31.2979,33.7,123.4,1.548,-0.008
31.3976,35.8,123.6,1.7,-0.012
31.4972,37.6,123.7,1.844,-0.004
31.5969,39.5,123.9,1.98,-0.012
31.6966,41.2,124.3,2.097,-0.015
31.7963,42.6,124.3,2.21,-0.012
31.8959,43.9,124.4,2.304,-0.012
31.9956,45,124.8,2.394,-0.019
32.0953,45.9,124.9,2.464,-0.019
32.195,46.8,124.8,2.53,-0.015
32.2946,47.3,125.1,2.581,-0.015
32.3943,47.7,125.2,2.62,-0.015
32.494,47.9,125,2.651,-0.008
32.5937,47.8,125,2.674,-0.019
32.6933,47.7,125.2,2.682,-0.019
32.793,47.4,125.2,2.686,-0.015
32.8927,46.7,124.9,2.686,-0.019
32.9924,45.9,125.1,2.682,-0.019
33.092,45,125.1,2.674,-0.019
33.1917,43.9,124.9,2.655,-0.019
33.2914,42.6,124.8,2.631,-0.015
33.3911,41.2,125,2.608,-0.015
33.4907,39.7,124.9,2.573,-0.004
33.5904,37.9,124.5,2.526,-0.019
33.6901,36.1,124.5,2.479,-0.015
33.7898,34.1,124.5,2.417,-0.012
33.8894,31.9,124.2,2.351,-0.015
33.9891,29.4,123.9,2.269,-0.012
34.0888,27.1,124.1,2.183,-0.012
34.1885,24.6,123.9,2.086,-0.012
34.2881,22,123.6,1.98,-0.008
34.3878,19.2,123.4,1.863,-0.012
34.4875,16.6,123.5,1.743,-0.004
34.5872,13.7,123.3,1.598,-0.008
34.6868,10.8,123,1.458,-0.004
34.7865,7.7,123,1.31,-0.008
34.8862,4.9,123,1.146,-0.008
34.9859,1.9,122.6,0.978,-0.008
35.0855,-0.9,122.6,0.791,-0.008
35.1852,-3.8,122.6,0.581,-0.008
35.2849,-7,122.6,0.37,-0.004
35.3846,-10.1,122.7,0.164,-0.008
35.4842,-13,123,-0.039,-0.008
35.5839,-15.9,123,-0.238,-0.004
35.6836,-18.7,123.3,-0.437,-0.004
35.7833,-21.4,123.8,-0.647,-0.004
35.8829,-24.1,124.1,-0.838,-0.004
35.9826,-26.8,124.4,-1.033,-0.008
36.0823,-29.3,124.8,-1.22,-0.008
36.182,-31.6,125.1,-1.392,-0.008
36.2816,-33.8,125.4,-1.571,-0.008
36.3813,-35.8,125.7,-1.739,-0.008
36.481,-38,126,-1.91,-0.008
36.5807,-39.8,126.3,-2.058,0
36.6803,-41.5,126.6,-2.191,-0.004
36.78,-43.1,126.6,-2.308,-0.008
36.8797,-44.5,126.9,-2.401,-0.012
36.9794,-45.6,127.2,-2.487,-0.008
37.079,-46.6,127.2,-2.561,-0.008
37.1787,-47.5,127.2,-2.627,-0.008
37.2784,-48,127.4,-2.678,-0.008
37.3781,-48.4,127.4,-2.717,-0.012
37.4777,-48.7,127.2,-2.756,-0.012
37.5774,-48.6,127.3,-2.772,0.004
37.6771,-48.5,127.2,-2.787,-0.008
37.7768,-48.2,127,-2.795,-0.008
37.8764,-47.6,126.9,-2.791,-0.008
37.9761,-47,127,-2.787,-0.012
38.0758,-46.1,126.7,-2.776,-0.008
38.1755,-44.9,126.6,-2.76,-0.008
38.2751,-43.7,126.4,-2.737,-0.012
38.3748,-42.3,126.1,-2.705,-0.004
38.4745,-40.8,125.8,-2.67,-0.012
38.5742,-39.1,125.5,-2.627,0.004
38.6738,-37.2,125.2,-2.569,-0.012
38.7735,-35.2,124.6,-2.51,-0.004
38.8732,-33.1,124.3,-2.44,-0.008
38.9729,-30.7,123.9,-2.366,-0.008
39.0725,-28.3,123.6,-2.28,-0.008
39.1722,-25.8,123.1,-2.179,-0.012
39.2719,-23.2,123,-2.082,-0.012
39.3716,-20.5,122.8,-1.961,-0.008
39.4712,-17.7,122.4,-1.836,-0.008
39.5709,-15.1,122.1,-1.692,0
39.6706,-11.9,122.1,-1.532,-0.008
39.7703,-9.1,121.7,-1.368,-0.012
39.8699,-6.1,121.2,-1.197,-0.004
39.9696,-3.1,121,-1.025,-0.008
40.0693,-0.1,120.9,-0.834,-0.008
40.169,2.8,120.4,-0.639,-0.008
40.2686,6,120.4,-0.421,-0.004
40.3683,8.9,120.5,-0.207,-0.004
40.468,11.9,120.3,0,-0.004
40.5677,14.8,120.2,0.214,-0.004
40.6673,17.8,120.5,0.421,0
40.767,20.6,120.7,0.628,-0.004
40.8667,23.2,120.8,0.819,0
40.9664,25.8,121,1.01,0
41.066,28.3,121.4,1.189,0
41.1657,30.7,121.4,1.364,-0.004
41.2654,32.9,121.5,1.524,0
41.3651,35.2,121.9,1.688,-0.004
41.4647,37,122.3,1.84,-0.008
41.5644,38.9,122.3,1.98,-0.004
41.6641,40.6,122.6,2.105,-0.008
41.7638,42.1,122.9,2.222,-0.012
41.8634,43.5,123,2.323,-0.008
41.9631,44.7,123,2.413,-0.012
42.0628,45.7,123.3,2.491,-0.015
42.1624,46.5,123.3,2.549,-0.012
42.2621,47,123.3,2.612,-0.012
42.3618,47.5,123.5,2.651,-0.012
42.4615,47.8,123.6,2.686,-0.015
42.5611,47.8,123.3,2.709,-0.015
42.6608,47.7,123.5,2.721,-0.008
42.7605,47.4,123.6,2.725,-0.012
42.8602,46.8,123.5,2.729,-0.015
42.9599,46.2,123.4,2.729,-0.015
43.0595,45.3,123.6,2.721,-0.012
43.1592,44.3,123.6,2.705,-0.015
43.2589,43.1,123.3,2.682,-0.015
43.3585,41.7,123.3,2.655,-0.012
43.4582,40.2,123.4,2.627,-0.012
43.5579,38.6,123.1,2.581,-0.012
43.6576,36.7,123,2.53,-0.004
43.7572,34.8,123,2.475,-0.012
43.8569,32.7,122.8,2.409,-0.012
43.9566,30.2,122.6,2.331,-0.008
44.0563,27.9,122.5,2.249,-0.008
44.1559,25.5,122.4,2.156,-0.008
44.2556,22.8,122.1,2.05,-0.004
44.3553,20.2,122,1.937,-0.008
44.455,17.5,121.9,1.817,-0.004
44.5546,14.6,121.7,1.676,-0.004
44.6543,11.8,121.5,1.528,0.008
44.754,8.8,121.5,1.376,-0.004
44.8537,5.9,121.4,1.224,-0.004
44.9533,2.8,121.1,1.053,-0.004
45.053,0,120.9,0.869,0
45.1527,-2.9,121,0.663,-0.004
45.2524,-6,121,0.444,0
45.352,-9,120.9,0.242,0
45.4517,-12.1,121.2,0.031,-0.004
45.5514,-15,121.4,-0.175,-0.004
45.6511,-17.7,121.6,-0.374,0.004
45.7507,-20.5,122,-0.585,-0.004
45.8504,-23.2,122.5,-0.787,-0.004
45.9501,-25.8,122.7,-0.986,-0.004
46.0498,-28.4,123.1,-1.177,-0.004
46.1494,-30.8,123.4,-1.364,-0.004
46.2491,-33.1,123.7,-1.548,0
46.3488,-35.2,123.9,-1.723,0
46.4485,-37.2,124.4,-1.895,0
46.5481,-39.2,124.8,-2.05,0
46.6478,-40.9,125,-2.187,-0.004
46.7475,-42.6,125.1,-2.308,-0.004
46.8472,-44,125.4,-2.417,-0.008
46.9468,-45.2,125.5,-2.507,-0.008
47.0465,-46.4,125.6,-2.585,-0.008
47.1462,-47.2,125.8,-2.651,-0.008
47.2459,-47.9,125.9,-2.701,-0.004
47.3455,-48.3,125.9,-2.744,-0.004
47.4452,-48.6,125.7,-2.783,-0.004
47.5449,-48.7,125.7,-2.811,-0.004
47.6446,-48.6,125.7,-2.818,-0.004
47.7442,-48.3,125.6,-2.83,-0.004
47.8439,-47.9,125.5,-2.83,-0.008
47.9436,-47.3,125.5,-2.83,-0.004
48.0433,-46.4,125.3,-2.818,-0.004
48.1429,-45.4,125.1,-2.799,-0.004
48.2426,-44.2,125,-2.783,-0.004
48.3423,-42.8,124.8,-2.752,-0.004
48.442,-41.3,124.3,-2.717,-0.008
48.5416,-39.6,124,-2.678,-0.004
48.6413,-37.8,123.8,-2.624,-0.004
48.741,-35.7,123.4,-2.565,0.004
48.8407,-33.8,122.9,-2.503,-0.004
48.9403,-31.3,122.7,-2.425,-0.004
49.04,-29,122.2,-2.343,-0.004
49.1397,-26.6,121.8,-2.249,-0.004
49.2394,-24,121.4,-2.148,-0.004
49.339,-21.3,121.3,-2.031,0
49.4387,-18.8,120.9,-1.902,-0.004
49.5384,-15.8,120.7,-1.766,-0.004
49.6381,-12.9,120.6,-1.618,0
49.7377,-10,120.4,-1.446,0.004
49.8374,-7.1,119.6,-1.286,0
49.9371,-4.1,119.6,-1.103,-0.004
50.0368,-1,119.5,-0.912,0
50.1364,1.8,119,-0.717,0
50.2361,4.9,118.8,-0.503,0
50.3358,7.9,119,-0.285,0
50.4355,11,118.9,-0.07,0
50.5351,13.7,118.8,0.144,0
50.6348,16.6,119,0.359,0.004
50.7345,19.4,119.3,0.569,0.004
50.8342,22.2,119.1,0.772,0.004
50.9338,24.9,119.4,0.967,0
51.0335,27.5,119.7,1.154,0.004
51.1332,29.9,119.8,1.333,0
51.2329,32.2,119.9,1.501,0.004
51.3325,34.4,120.3,1.661,0
51.4322,36.4,120.7,1.824,-0.004
51.5319,38.2,120.7,1.969,-0.004
51.6316,40.1,120.9,2.105,-0.008
51.7312,41.7,121.3,2.226,-0.004
51.8309,43.1,121.5,2.331,-0.008
51.9306,44.4,121.5,2.425,-0.008
52.0303,45.4,121.8,2.507,-0.008
52.1299,46.2,121.9,2.569,-0.008
52.2296,46.9,121.9,2.627,-0.004
52.3293,47.4,121.9,2.674,-0.008
52.429,47.7,122.1,2.713,-0.015
52.5286,47.9,122,2.74,-0.012
52.6283,47.7,122,2.752,-0.012
52.728,47.5,122.1,2.76,-0.008
52.8277,47.1,122.1,2.76,-0.012
52.9273,46.4,121.9,2.756,-0.015
53.027,45.6,122,2.756,-0.012
53.1267,44.7,122.1,2.744,-0.008
53.2264,43.4,121.9,2.721,-0.012
53.326,42.1,121.8,2.698,-0.012
53.4257,40.7,121.8,2.67,-0.012
53.5254,39.1,121.8,2.631,-0.008
53.6251,37.3,121.5,2.581,-0.008
53.7247,35.5,121.5,2.53,-0.004
53.8244,33.4,121.5,2.464,-0.004
53.9241,31.1,121.2,2.39,-0.004
54.0238,28.7,120.9,2.312,-0.008
54.1234,26.4,121,2.222,-0.004
54.2231,23.7,120.8,2.117,-0.004
54.3228,21.1,120.7,2.008,0
54.4225,18.4,120.5,1.883,0
54.5221,15.6,120.3,1.746,0
54.6218,12.7,120,1.606,0
54.7215,9.8,119.9,1.454,0
54.8212,6.8,119.9,1.29,0.012
54.9208,3.9,119.6,1.127,0
55.0205,0.9,119.5,0.939,0.004
55.1202,-2,119.4,0.733,0.004
55.2199,-4.9,119.5,0.522,0.004
55.3195,-8,119.5,0.3,0
55.4192,-11.1,119.7,0.086,0.004
55.5189,-13.9,119.8,-0.121,0.004
55.6186,-16.8,120,-0.327,0.004
55.7182,-19.6,120.4,-0.542,0.004
55.8179,-22.3,120.9,-0.748,0.015
55.9176,-25.1,121.1,-0.959,0.004
56.0173,-27.7,121.5,-1.146,0
56.1169,-30.1,121.8,-1.337,0
56.2166,-32.2,122.1,-1.52,0
56.3163,-34.5,122.5,-1.7,0
56.416,-36.5,123,-1.875,-0.004
56.5156,-38.5,123.1,-2.039,0.004
56.6153,-40.5,123.4,-2.183,0
56.715,-42,123.8,-2.312,0
56.8147,-43.5,123.9,-2.425,0.008
56.9143,-44.9,123.9,-2.522,-0.004
57.014,-45.9,124.2,-2.592,0
57.1137,-46.9,124.3,-2.663,0
57.2133,-47.6,124.3,-2.717,-0.004
57.313,-48.2,124.3,-2.768,0
57.4127,-48.5,124.5,-2.811,-0.004
57.5124,-48.7,124.4,-2.838,-0.004
57.612,-48.7,124.3,-2.857,0
57.7117,-48.4,124.3,-2.861,-0.004
57.8114,-48,124.3,-2.865,0.004
57.9111,-47.6,124,-2.865,-0.004
58.0107,-46.6,124,-2.857,-0.004
58.1104,-45.8,123.9,-2.842,-0.004
58.2101,-44.6,123.7,-2.822,0
58.3098,-43.3,123.4,-2.799,-0.004
58.4094,-41.8,123.2,-2.768,-0.004
58.5091,-40.2,122.8,-2.725,0
58.6088,-38.4,122.4,-2.674,0
58.7085,-36.5,122.1,-2.616,0
58.8081,-34.5,121.6,-2.557,0
58.9078,-32.3,121.2,-2.483,0
59.0075,-30,120.8,-2.401,-0.004
59.1072,-27.5,120.6,-2.312,0
59.2068,-24.9,120.3,-2.21,0
59.3065,-22.3,119.7,-2.101,0
59.4062,-19.6,119.5,-1.976,0
59.5059,-16.7,119.5,-1.84,-0.004
59.6055,-14,119,-1.696,0
59.7052,-10.9,118.9,-1.528,0
59.8049,-8,118.8,-1.357,0
59.9046,-5,118.3,-1.177,0.004
60.0042,-2.1,117.9,-0.998,0
60.1039,1,117.8,-0.799,0.004
60.2036,3.9,117.7,-0.589,0
60.3033,6.9,117.3,-0.363,0.004
60.4029,10,117.5,-0.14,0.004
60.5026,12.9,117.6,0.074,0.004
60.6023,15.7,117.4,0.292,0.008
60.702,18.5,117.6,0.511,0.004
60.8016,21.3,117.8,0.717,0.008
60.9013,24,118,0.916,0.019
61.001,26.7,118.1,1.107,0.004
61.1007,29,118.4,1.29,0.004
61.2003,31.4,118.6,1.466,0.008
61.3,33.7,118.7,1.633,0
61.3997,35.8,118.9,1.797,0
61.4994,37.6,119.4,1.949,0
61.599,39.4,119.5,2.093,0
61.6987,41.1,119.7,2.214,0
61.7984,42.7,119.9,2.323,-0.004
61.8981,44,120.1,2.425,0.008
61.9977,45,120.1,2.51,0
62.0974,45.9,120.2,2.581,-0.004
62.1971,46.7,120.5,2.643,-0.004
62.2968,47.2,120.6,2.698,-0.008
62.3964,47.7,120.5,2.74,-0.004
62.4961,47.8,120.5,2.76,-0.004
62.5958,47.9,120.8,2.783,-0.008
62.6955,47.5,120.6,2.791,-0.008
62.7951,47.3,120.8,2.787,-0.008
